code_imp,code_ad,title,brand,url,origin,medium,service
lesproprietairesseruentsur-lf-taboola,lesproprietairesseruentsur-taboola,Les propriétaires se ruent sur ces panneaux solaires financés par l'État,Eco Astuce,http://ww1.eco-astuce.com/d461619f-b64a-4e8e-8185-2e454f5e2f19?ad_title=Les+propri%C3%A9taires+se+ruent+sur+ces+panneaux+solaires+financ%C3%A9s+par+l%27%C3%89tat&site_name=lefigaro-lefigaro&ad_id=250281631&campaign_name=web&source=taboola,http://www.lefigaro.fr/flash-actu/brexit-johnson-denonce-une-collaboration-terrible-entre-l-ue-et-des-elus-britanniques-20190814,Le Figaro,taboola
iledefranceletatvousai-lf-taboola,iledefranceletatvousai-taboola,Ile-de-france : L'Etat vous aide à payer vos panneaux photovoltaïques,Électricité gratuite,https://www.photovoltaique.io/Fourniture_et_pose?tcontext=Propri%C3%A9taires%2C%20%C3%A9conomisez%20en%20installant%20des%20panneaux%20solaires&utm_source=taboola&utm_medium=referral&provider_id=8&CampaignId=1537736&OrderItemId=136510103&Device=Desktop&site=lefigaro-lefigaro,http://www.lefigaro.fr/flash-actu/brexit-johnson-denonce-une-collaboration-terrible-entre-l-ue-et-des-elus-britanniques-20190814,Le Figaro,taboola
cetteastuceoublieeeliminel-lf-taboola,cetteastuceoublieeeliminel-taboola,Cette astuce oubliée élimine le ronflement et l'apnée du sommeil,Santé et Bien Etre,https://condian-subilled.com/d64434d5-c590-42f8-8748-8ad27f1e6376?campaign_item_id=228310711&campaign_id=2280203&site=lefigaro-lefigaro,http://www.lefigaro.fr/flash-actu/brexit-johnson-denonce-une-collaboration-terrible-entre-l-ue-et-des-elus-britanniques-20190814,Le Figaro,taboola
lescontribuablesnesapres19-lf-taboola,lescontribuablesnesapres19-taboola,"Les contribuables nés après 1960 payant +2500€ d'impôts vont apprécier le dispositif, faites le test !",Réduction Fiscale,https://reduction-fiscale.com/??creative=http%3A%2F%2Fcdn.taboola.com%2Flibtrc%2Fstatic%2Fthumbnails%2F5ef1b0bdbfc0ff261ee954415cee7553.jpg&campagne=2151565&comefrom=lefigaro-lefigaro&tracker2=Les+contribuables+n%C3%A9s+apr%C3%A8s+1960+payant+%2B2500%E2%82%AC+d%27imp%C3%B4ts+vont+appr%C3%A9cier+le+dispositif%2C+faites+le+test+%21&tracker1=212393544&placement=Desktop&source=taboola&relationship=CjA4OWRiM2U2Zi1lODBjLTQ3NDYtODRlMy01YTI0ODRlM2ZjNmItdHVjdDQ0ZGJkMjgSDGxlYm9ubGVhZC1zYw,http://www.lefigaro.fr/flash-actu/brexit-johnson-denonce-une-collaboration-terrible-entre-l-ue-et-des-elus-britanniques-20190814,Le Figaro,taboola
lejeudesimulationdeville-lf-taboola,lejeudesimulationdeville-taboola,Le jeu de simulation de ville qui te fait voyager dans le temps,Forge Of Empires - Jeu en Ligne Gratuit,https://om.forgeofempires.com/foe/fr/?ref=tab_fr_fr&&external_param=58613876&pid=lefigaro-lefigaro&bid=58613876,http://www.lefigaro.fr/flash-actu/brexit-johnson-denonce-une-collaboration-terrible-entre-l-ue-et-des-elus-britanniques-20190814,Le Figaro,taboola
uneinventionjaponaisevousp-lf-taboola,uneinventionjaponaisevousp-taboola,Une invention japonaise vous permet de parler 43 langues instantanément.,Traducteur MUAMA,http://verified.secure-clicker.com/edb8b68e-08bc-4b6a-ab2d-325a29443022?utm_platform=Desktop&utm_title=Une+invention+japonaise+vous+permet+de+parler+43+langues+instantan%C3%A9ment.&utm_thumnail=https%3A%2F%2Fbreakthroughtrend.com%2Fstats%2Fconsole%2Ffiles%2Fe8811ea0-055f-43bc-9a6f-fc9d8002e5f7%2Fst10.jpg&utm_campaign=2515928&utm_medium=lefigaro-lefigaro&utm_campaign_item_id=255639292&site_id=1138933&click-id=CjA4OWRiM2U2Zi1lODBjLTQ3NDYtODRlMy01YTI0ODRlM2ZjNmItdHVjdDQ0ZGJkMjgSEWNvbnZlbHZlbnR1cmVzLXNj,http://www.lefigaro.fr/flash-actu/brexit-johnson-denonce-une-collaboration-terrible-entre-l-ue-et-des-elus-britanniques-20190814,Le Figaro,taboola
iledefrancecombiencouter-lf-taboola,iledefrancecombiencouter-taboola,Ile-de-france : Combien coûtera l'installation de panneaux solaires ?,Électricité gratuite,https://www.photovoltaique.io/Fourniture_et_pose?tcontext=Propri%C3%A9taires%2C%20%C3%A9conomisez%20en%20installant%20des%20panneaux%20solaires&utm_source=taboola&utm_medium=referral&provider_id=8&CampaignId=1537736&OrderItemId=249814471&Device=Desktop&site=lefigaro-lefigaro,http://www.lefigaro.fr/conjoncture/allemagne-la-contraction-de-la-croissance-met-un-terme-a-la-decennie-doree-20190814,Le Figaro,taboola
lapateatartineravec85%d-lf-taboola,lapateatartineravec85%d-taboola,"La pâte à tartiner avec 85 % de sucre en moins, pour 3 fois plus de protéines.",Foodspring®,https://www.foodspring.fr/pate-a-tartiner-proteinee?utm_source=taboola&utm_medium=cpc&utm_campaign=D-ProteinCream_InterestAll_D_FR&utm_content=La+p%C3%A2te+%C3%A0+tartiner+avec+85+%25+de+sucre+en+moins%2C+pour+3+fois+plus+de+prot%C3%A9ines.&utm_term=lefigaro-lefigaro,http://www.lefigaro.fr/conjoncture/allemagne-la-contraction-de-la-croissance-met-un-terme-a-la-decennie-doree-20190814,Le Figaro,taboola
devenirmillionnaireenbourse-lf-taboola,devenirmillionnaireenbourse-taboola,Devenir millionnaire en Bourse grâce à ces 5 piliers ! Nous vous les offrons !,Les Investisseurs,https://lead.les-investisseurs.com/5-piliers/?source=LIS5490044&utm_campaign=5-piliers&utm_source=taboola&utm_medium=social-paid&&utm_campaign=5-piliers&utm_source=taboola&utm_medium=social-paid,http://www.lefigaro.fr/conjoncture/allemagne-la-contraction-de-la-croissance-met-un-terme-a-la-decennie-doree-20190814,Le Figaro,taboola
pantinvoicilesitederenc-lf-taboola,pantinvoicilesitederenc-taboola,(Pantin) Voici le site de rencontres pour les 40+ ans,Amour Expert,https://amourexpert.com/les-plus-de-40-ans-veulent-tous-rejoindre-ce-site-de-rencontres-tb/?utm_source=Taboola&utm_medium=lefigaro-lefigaro&utm_campaign=EliteWomen-FR-D-TB&utm_content=%28Pantin%29+Voici+le+site+de+rencontres+pour+les+40%2B+ans,http://www.lefigaro.fr/medias/free-pret-a-se-passer-de-bfmtv-20190814,Le Figaro,taboola
iledefrancecetteprimeso-lf-taboola,iledefrancecetteprimeso-taboola,Ile-de-france : Cette prime solaire rend fou les propriétaires,Eco Astuce,http://ww1.eco-astuce.com/d461619f-b64a-4e8e-8185-2e454f5e2f19?ad_title=Ile-de-france+%3A+Cette+prime+solaire+rend+fou+les+propri%C3%A9taires&site_name=lefigaro-lefigaro&ad_id=250280034&campaign_name=web&source=taboola,http://www.lefigaro.fr/medias/free-pret-a-se-passer-de-bfmtv-20190814,Le Figaro,taboola
isolationa1€voicipourquoi-lf-taboola,isolationa1€voicipourquoi-taboola,"Isolation à 1€, voici pourquoi il n'y a plus de conditions de revenus?",Étude Transition Énergétique,http://isolation-maison.info/?src=taboola&utm_source=taboola&utm_medium=referral&utm_term=lefigaro-lefigaro,http://www.lefigaro.fr/medias/free-pret-a-se-passer-de-bfmtv-20190814,Le Figaro,taboola
sivousavezplusde50anset-lf-taboola,sivousavezplusde50anset-taboola,"Si vous avez plus de 50 ans et possédez un ordinateur, ce jeu est un must-have",Vikings: Jeu en ligne gratuit,https://plarium.com/landings/fr/vikings/village_steps_m?publisherID=253062808&placement=lefigaro-lefigaro&adpartnerset=1483379&plid=122028&pxl=taboola_fr,http://www.lefigaro.fr/medias/free-pret-a-se-passer-de-bfmtv-20190814,Le Figaro,taboola
investirdansloren2019bo-lf-taboola,investirdansloren2019bo-taboola,"Investir dans l'Or en 2019, bonne ou mauvaise idée ?",Les Investisseurs,https://lead.les-investisseurs.com/investir-dans-or/?source=LIS33040001&utm_campaign=investir-dans-or&utm_source=taboola&&utm_campaign=investir-dans-or&utm_source=taboola,http://www.lefigaro.fr/medias/free-pret-a-se-passer-de-bfmtv-20190814,Le Figaro,taboola
iledefrancecetteloirend-lf-taboola,iledefrancecetteloirend-taboola,Ile-de-france : Cette loi rend les panneaux solaires encore plus rentable,Eco Astuce,http://ww1.eco-astuce.com/d461619f-b64a-4e8e-8185-2e454f5e2f19?ad_title=Ile-de-france+%3A+Cette+loi+rend+les+panneaux+solaires+encore+plus+rentable&site_name=lefigaro-lefigaro&ad_id=250278434&campaign_name=web&source=taboola,http://www.lefigaro.fr/flash-actu/notre-dame-le-ministere-rappelle-l-urgence-d-eviter-un-effondrement-20190814,Le Figaro,taboola
3pointsquipermettentdelou-lf-taboola,3pointsquipermettentdelou-taboola,3 points qui permettent de louer facilement son logement sur Booking.com,Booking.com,https://join.booking.com/homeowners/?lang=fr&aid=1433184&utm_source=Taboola&utm_medium=Native%20Advertising&utm_campaign=NPM_Native%20Advertising_Taboola_FR_FR,http://www.lefigaro.fr/flash-actu/notre-dame-le-ministere-rappelle-l-urgence-d-eviter-un-effondrement-20190814,Le Figaro,taboola
cetteinventionetrangearrete-lf-taboola,cetteinventionetrangearrete-taboola,Cette invention étrange arrête le ronflement et l'apnée du sommeil (faites ceci le soir),Santé et Bien Etre,https://condian-subilled.com/d64434d5-c590-42f8-8748-8ad27f1e6376?campaign_item_id=228312182&campaign_id=2280203&site=lefigaro-lefigaro,http://www.lefigaro.fr/flash-actu/notre-dame-le-ministere-rappelle-l-urgence-d-eviter-un-effondrement-20190814,Le Figaro,taboola
commentdevenirricheilfau-lf-taboola,commentdevenirricheilfau-taboola,Comment devenir RICHE ? Il faut faire ce que font les Riches ! Découvrez les SECRETS des RICHES,Les Investisseurs,https://lead.les-investisseurs.com/bundle-bourse-form/?source=LIS17060027&utm_campaign=bundle-bourse-form&utm_source=taboola&&utm_campaign=secret-bundle&utm_source=taboola,http://www.lefigaro.fr/flash-actu/notre-dame-le-ministere-rappelle-l-urgence-d-eviter-un-effondrement-20190814,Le Figaro,taboola
ceclipantironflementexplos-lf-taboola,ceclipantironflementexplos-taboola,Ce clip anti-ronflement explose les records de vente en France,Solution Anti-Ronflement,https://d3kem.bemobtrk.com/go/940cf98e-12c1-4956-a655-3239efd046e4?click_id=CjA4OWRiM2U2Zi1lODBjLTQ3NDYtODRlMy01YTI0ODRlM2ZjNmItdHVjdDQ0ZGJkMjgSCm5lZXBwbGUtc2M&utm_site_id=1138933&utm_site=lefigaro-lefigaro&utm_campaignid=2606718&utm_thumbnail=http%3A%2F%2Fcdn.taboola.com%2Flibtrc%2Fstatic%2Fthumbnails%2F1ffe6b7595c204dd6ad6f7fdf8bd8d64.jpg&utm_title=Ce+clip+anti-ronflement+explose+les+records+de+vente+en+France&utm_campaign_item=263922730&utm_platform=Desktop&utm_source=taboola&utm_medium=referral,http://www.lefigaro.fr/flash-actu/notre-dame-le-ministere-rappelle-l-urgence-d-eviter-un-effondrement-20190814,Le Figaro,taboola
nouveauen2019faitesrempla-lf-taboola,nouveauen2019faitesrempla-taboola,"Nouveau en 2019, Faites remplacer vos fenêtres, vos volets, votre porte d’entrée blindée ou votre porte de garage",Sans Débourser 1€,https://world-com.typeform.com/to/bhPm2D?utm_source=taboola&utm_medium=Taboola_VFP_IDF,http://www.lefigaro.fr/flash-actu/bison-fute-samedi-noir-dans-le-sens-des-departs-vers-le-sud-est-20190807,Le Figaro,taboola
situaimesjouercejeudec-lf-taboola,situaimesjouercejeudec-taboola,"Si tu aimes jouer, ce jeu de construction de ville est pour toi",Forge Of Empires - Jeu en Ligne Gratuit,https://om.forgeofempires.com/foe/fr/?ref=tab_fr_fr&&external_param=158434898&pid=videofigaro-videofigaro&bid=158434898,http://video.lefigaro.fr/figaro/video/eric-woerth-alpiniste-moque-sur-les-reseaux-sociaux/6072291267001/,Le Figaro,taboola
lejeudestrategieincontourn-lf-taboola,lejeudestrategieincontourn-taboola,Le jeu de stratégie incontournable de l'année,Grepolis - Jeu en ligne gratuit,https://om.grepolis.com/grepo/fr/?ref=tab_fr_fr&&external_param=116187409&pid=videofigaro-videofigaro&bid=116187409,http://video.lefigaro.fr/figaro/video/eric-woerth-alpiniste-moque-sur-les-reseaux-sociaux/6072291267001/,Le Figaro,taboola
iledefranceprofitezdess-lf-taboola,iledefranceprofitezdess-taboola,Île-de-France : Profitez des subventions du gouvernement pour vous équiper d'une pompe à chaleur réversible !,transition-energies.fr,https://transition-energies.fr/pompe-a-chaleur/?utm_source=Taboola&utm_medium=videofigaro-videofigaro&utm_campaign=2577817&utm_term=%C3%8Ele-de-France+%3A+Profitez+des+subventions+du+gouvernement+pour+vous+%C3%A9quiper+d%27une+pompe+%C3%A0+chaleur+r%C3%A9versible+%21&utm_content=http%3A%2F%2Fcdn.taboola.com%2Flibtrc%2Fstatic%2Fthumbnails%2F7d696322ed8954e7365d1d6591e71b5a.jpg,http://video.lefigaro.fr/figaro/video/eric-woerth-alpiniste-moque-sur-les-reseaux-sociaux/6072291267001/,Le Figaro,taboola
revislagreceantiquegracea-lf-taboola,revislagreceantiquegracea-taboola,Revis la Grèce Antique grâce à ce jeu de stratégie,Grepolis - Jeu en ligne gratuit,https://om.grepolis.com/grepo/fr/?ref=tab_fr_fr&&external_param=141552935&pid=videofigaro-videofigaro&bid=141552935,http://video.lefigaro.fr/figaro/video/les-images-de-l-effondrement-du-pont-de-genes/6072737860001/,Le Figaro,taboola
iledefrancevospanneauxs-lf-taboola,iledefrancevospanneauxs-taboola,Île-de-France : vos panneaux solaires pour 1€ jusqu’au 30 août 2019 !,Gratuit &amp; Sans Engagement,https://programme-photovoltaique.fr/?utm_source=Taboola&utm_medium=videofigaro-videofigaro&utm_campaign=2530685&utm_term=%C3%8Ele-de-France+%3A+vos+panneaux+solaires+pour+1%E2%82%AC+jusqu%E2%80%99au+30+ao%C3%BBt+2019+%21&utm_content=http%3A%2F%2Fcdn.taboola.com%2Flibtrc%2Fstatic%2Fthumbnails%2Fa24f2c1e3fd019df1cfda4203b5f3d52.jpg,http://video.lefigaro.fr/figaro/video/les-images-de-l-effondrement-du-pont-de-genes/6072737860001/,Le Figaro,taboola
sivousavezplusde40anset-lf-taboola,sivousavezplusde40anset-taboola,"Si vous avez plus de 40 ans et possédez un ordinateur, ce jeu est un must-have",Vikings: Jeu en ligne gratuit,https://plarium.com/landings/fr/vikings/village_steps_m?publisherID=253062872&placement=videofigaro-videofigaro&adpartnerset=1483379&plid=122028&pxl=taboola_fr,http://video.lefigaro.fr/figaro/video/nike-lance-une-formule-d-abonnement/6072720302001/,Le Figaro,taboola
proprietairedemaisonelimi-lf-taboola,proprietairedemaisonelimi-taboola,[Propriétaire de maison] éliminez vos factures d'électricité & de chauffage avec le solaire!,Economiser Son Energie,http://www.economisersonenergie.com/ne-plus-payer-facture-de-chauffage-delectricite/?utm_source=taboola&utm_medium=cpc&utm_campaign=desktop,http://video.lefigaro.fr/figaro/video/gymnastique-la-championne-olympique-simone-biles-realise-parfaitement-une-figure-inedite/6072189029001/,Le Figaro,taboola
revivezlamourapantinavec-lf-taboola,revivezlamourapantinavec-taboola,Revivez l’amour à Pantin avec un célibataire ambitieux,EliteRencontre,https://celibataire.eliterencontre.fr/natz23?utm_source=taboola&utm_medium=referral&CID=EFR_SEM_1235_2488326_263796115_0_lefigaro-lefigaro,http://www.lefigaro.fr/musique/a-ap-rocky-declare-coupable-d-agression-par-la-justice-suedoise-20190814,Le Figaro,taboola
cenouvelappareilpourcesser-lf-taboola,cenouvelappareilpourcesser-taboola,Ce nouvel appareil pour cesser de ronfler fait fureur en France,La Solution Anti-Ronflement,http://go.shoppingastuces.com/83d49cd6-d0c8-4836-82c5-5c2e9a131da9?utm_source=taboola&utm_campaign=2358733&utm_medium=lefigaro-lefigaro&utm_content=Ce+nouvel+appareil+pour+cesser+de+ronfler+fait+fureur+en+France&aid=238647839&xh={Headline}&xw={Image}&tb_click_id=CjA4OWRiM2U2Zi1lODBjLTQ3NDYtODRlMy01YTI0ODRlM2ZjNmItdHVjdDQ0ZGJkMjgSEmZsb2JtZWRpYS1lY29tMi1zYw,http://www.lefigaro.fr/musique/a-ap-rocky-declare-coupable-d-agression-par-la-justice-suedoise-20190814,Le Figaro,taboola
cepetittraducteurvousperme-lf-taboola,cepetittraducteurvousperme-taboola,Ce petit traducteur vous permet de parler 43 langues en quelques minutes,BlogTest,https://railed-dection.com/bab8d0c9-cd2a-433e-97a4-819b6247bc91?site=lefigaro-lefigaro&site_id=1138933&title=Ce+petit+traducteur+vous+permet+de+parler+43+langues+en+quelques+minutes&platform=Desktop&campaign_id=2320015&campaign_item_id=232789116&thumbnail=http%3A%2F%2Fcdn.taboola.com%2Flibtrc%2Fstatic%2Fthumbnails%2F109f8586a99f990f5fa6110caf1265bb.jpg&click_id=CjA4OWRiM2U2Zi1lODBjLTQ3NDYtODRlMy01YTI0ODRlM2ZjNmItdHVjdDQ0ZGJkMjgSGGNpcmltZWRpYS1hZmZpbGlhdGlvbi1zYw,http://www.lefigaro.fr/secteur/high-tech/l-administration-trump-veut-encadrerla-moderation-des-reseaux-sociaux-20190814,Le Figaro,taboola
proprietairescombiencoute-lf-taboola,proprietairescombiencoute-taboola,Propriétaires : Combien coûte l’installation d’une climatisation réversible ?,Kiosque-Travaux.com,http://climatisation.mon-artisan.pro/part/native-climatisation-022019/page_step12.php?from=666-625&utm_source=taboola&utm_medium=referral,http://www.lefigaro.fr/actualite-france/2018/08/15/01016-20180815ARTFIG00003-assomption-qu-est-ce-que-l-on-fete-le-15-aout.php,Le Figaro,taboola
